Year,Month,Day,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(grams)
1998,9,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,6,0.0004,0,-999,-999,-999,-999,-999,-999,-999
1998,10,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,17,0.0688,1.016073,-999,-999,-999,-999,-999,-999,-999
1998,10,18,0.0685,1.024947,-999,-999,-999,-999,-999,-999,-999
1998,10,19,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,10,20,0.0631,0.496944,-999,-999,-999,-999,-999,-999,-999
1998,10,21,0.0018,0,-999,-999,-999,-999,-999,-999,-999
1998,10,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,10,31,0,0,-999,-999,-999,-999,-999,-999,-999
